names,Politicians,Gender
Dmitry Kovtun,Jerrold Nadler,Male
Herb Sorrel,Harry Reid,Male
Boris Berezovsky,Ted Kennedy,Male
Ruslan Boshirov,Ben Stewart,Male
Dawn Sturgess,David Mundell,Male
Nina Ricci,Nicola Sturgeon,Female
Charlie Rowley,Kim Jongun,Male
Mark Simakovsky,Itsunori Onodera,Male
Patrick Wintour,Vipin Narang,Male
Wilbur Ross,Newt Gingrich,Male
Gavin Williamson,William Kristol,Male
Lu Kang,Graham Brady,Male
Ren Zhengfei,Andrea Leadsom,Female
Jens Stoltenberg,Sajid Javid,Male
Sergei Lavrov,Chris Grayling,Male
Bashar Alassad,Boris Johnson,Male
Lawrence Douglas,Rory Stewart,Male
Nikki Haley,Michael Gove,Male
Matthew Rycroft,Penny Mordaunt,Female
Kamala Harris,Damian Green,Male
Kasie Barne,Mahatma Gandhi,Male
Tulsi Gabbard,Sonya Sotomayor,Female
Pete Buttigieg,Jon Tigar,Male
David Latterman,Geoffrey Berman,Male
Amelia Ashleyward,Alexander Acosta,Male
Brian Brokaw,Lamar Smith,Male
William Barr,Lizzie Pannill,Female
Dan Schnur,Janet Davis,Female
Aimee Allison,Henry Mcmaster,Male
Jamal Trulove,Brian Kemp,Male
Bob Woodward,Anthony Scaramucci,Male
John Kelly,Rachel Mitchell,Female
Reince Priebus,Orrin Hatch,Male
Rob Porter,Donna Brazile,Female
Gary Cohn,Ari Berman,Male
Carl Bernstein,Brad Raffensperger,Male
Richard Nixon,Debbie Dingell,Female
Howard Stern,Neil Gorsuch,Male
John Mccaina,Lisa Murkowski,Female
Robert Killebrew,Woodrow Wilson,Male
Tom Hanton,Ron Wyden,Male
Richard Kohn,Jeremy Moss,Male
David Petraeus,Leon Panetta,Male
Peter Mansoor,Andrew Tyrie,Male
Douglas Macarthurand,Benjamin Netanyahu,Male
Colin Powell,Avichai Mandelblit,Male
Bill Clinton,Benny Gantz,Male
Matthew Moten,Lee Haechan,Male
Lawrence Wilkerson,Terry Mcauliffe,Male
Alberto Mora,James Blanchard,Male
Mark Fallon,Jennifer Granholm,Female
Brittain Mallow,William Milliken,Male
Andrew Bacevich,Faiz Ahmad,Male
Stanley Mcchrystal,Volodymyr Zelensky,Male
Mike Mullen,Viktor Shokin,Male
Couldand Didfind,Kate Bedingfield,Female
Rhona Graff,Patrick Leahy,Male
Joseph Dunford,Sheldon Whitehouse,Male
Bryan Mcgrath,Richard Blumenthal,Male
Eliot Cohen,Mazie Hirono,Female
Johns Hopkins,Mike Huckabee,Male
Merdad Parsey,Mick Mulvaney,Male
Jeffrey Epstein,Gina Raimondo,Female
Ghislaine Maxwell,Keith Schiller,Male
Prince Andrew,Randi Weingarten,Female
Gloria Allre,Andrew Cuomo,Male
Alicia Arden,Shavkat Mirziyoyev,Male
Robert Stryk,Janet Yellen,Female
Rob Bishop,Dick Cheney,Male
