names,Politicians,Gender
Hitoshi Murayama,Tom Lantos,Male
Robert Wright,Libby Schaaf,Female
Power Grant,Rahm Emanuel,Male
Agendadriven Vijay,Garry Mccarthy,Male
Adnan Abidireuter,Clementa Pinckney,Male
Joanna Slater,Jo Cox,Female
Masih Nihamasih,Lilianne Ploumen,Female
Darnella Frazi,Oleksiy Danilov,Male
Tamir Rice,Chris Coons,Male
Elijah Mcclain,Patty Murray,Female
Brian Smedley,Heather Nauert,Female
Melina Abdullah,Roger Gregory,Male
Fakenew Cnn,Seth Moulton,Male
Clinton Carter,Keith Kellogg,Male
Sean Spiceresque,Robert Caslen,Male
Anthony Scaramucci,Birendra Prasad,Male
Kyrie Irving,Bill Barr,Male
Stephen Jackson,Abbas Mousavi,Male
John Carlos,Muriel Bowser,Female
Adrian Wojnarowski,Alexander Lukashenko,Male
Charles Barkley,Mahathir Mohamad,Male
Chris Paul,Samsudin Osman,Male
Alllebron James,Randall Schriver,Male
Dave Zirin,Fred Ryan,Male
Gwen Berry,Erick Erickson,Male
Michele Roberts,Tom Coburn,Male
Christine Blasey,Ramzan Kadyrov,Male
Rachel Mitchell,Angelo Borrelli,Male
Orrin Hatch,Jim Comey,Male
Daniel Dale,Pat Toomey,Male
Jorge Ramos,Jacob Mudenda,Male
Ben Smith,Emmerson Mnangagwa,Male
Corey Lewandowski,Melanie Levesque,Female
Donna Brazile,Chris Sununu,Male
Margaret Sullivan,Sharon Carson,Female
John Weaver,Bob Giuda,Male
Jake Tapper,Elaine Chao,Female
Rick Astley,David Shulkin,Male
Jay Rosen,Sonny Perdue,Male
Kyle Pope,Ben Bernanke,Male
Carolyn Ryan,John Tester,Male
Dean Baquet,Nickolay Mladenov,Male
Michael Barbaro,Chesley Sullenberger,Male
Adam Moss,Eleanor Roosevelt,Female
Laura Mcgann,Alison Lundergan,Female
Susanne Craig,Jim Clyburn,Male
David Fahrenthold,Barbara Lee,Female
Ari Berman,Raul Grijalva,Male
Jonathan Martin,George Mcgovern,Male
Arthur Sulzberger,Joseph Yun,Male
Howard Kurtz,Mohammad Faheem,Male
Gerard Baker,Howard Dean,Male
Tommy Craggs,Sadiq Khan,Male
Hoochie Coochie,Woody Johnson,Male
Milwaukee Journalsentinel,Elise Stefanik,Female
Justin Clark,Michael Capuano,Male
Stuart Naifeh,Phil Bredesen,Male
David Becker,Janet Mills,Female
Larry Harmon,Paul Lepage,Male
Kathy Cullitongonzalez,Abby Finkenauer,Female
Brad Raffensperger,Rod Blum,Male
Carol Anderson,Hemant Soren,Male
Sam Nunberg,Stan Swamy,Male
Sarah Matthews,Robert Sobukwe,Male
Debbie Dingell,Subrahmanyam Jaishankar,Male
Rick Wilson,Laura Kelly,Female
Neil Gorsuch,Jeff Colyer,Male
Lisa Murkowski,Bill Schuette,Male
Sally Yate,Debbie Stabenow,Female
Woodrow Wilson,Elissa Slotkin,Female
Ron Wyden,Josh Hawley,Male
Gavin Grimm,Wesley Bell,Male
Mara Keisling,John Quincy,Male
Chase Strangio,Richard Cordray,Male
Willie Geist,Katie Hill,Female
Caitlyn Jenner,Bernie Kerik,Male
Jeremy Moss,Rod Blagojevich,Male
Frankwalter Steinmeier,Robert Gibbs,Male
Bernauer Strasse,Jill Abramson,Female
Matthew Yglesias,Pontius Pilate,Male
Waterboarde Donald,Boris Yeltsin,Male
Steve Kleinman,Anurag Thakur,Male
Relationshipbase Rapportbase,Robert Maxwell,Male
Leon Panetta,Darrell Issa,Male
Andrew Tyrie,Jason Chaffetz,Male
Benjamin Netanyahu,Kay Hagan,Female
Avichai Mandelblit,Norbert Hofer,Male
Arnon Milchan,John Bercow,Male
James Packer,Ken Clarke,Male
Yedioth Ahronoth,Peter Kyle,Male
Benny Gantz,Lucy Powell,Female
Paul Weiss,Stephen Kinnock,Male
Beverly Hills,John Demers,Male
Peter Thiel,Konstantin Kosachev,Male
Gabriel Sherman,Maria Zakharova,Female
Laurie Dhue,Mark Rutte,Male
Jack Abernethy,Matt Haney,Male
Andrea Tarantos,Hillary Ronen,Female
Woode Hill,Carlos Curbelo,Male
Kim Hongjireuter,Jan Brewer,Female
Choi Iksu,Ana Hernandez,Female
Chung Syekyun,Harmeet Dhillon,Female
Lee Haechan,Stephen Schwarzman,Male
Terry Mcauliffe,Strom Thurmond,Male
Socalle Reagan,Mahmud Abbas,Male
Ed Bruley,Mary Barra,Female
James Blanchard,George Deukmejian,Male
Jennifer Granholm,Mark Pryor,Male
William Milliken,Bruce Braley,Male
Ann Arbor,Carl Demaio,Male
Matt Vanderwest,Julian Castro,Male
Willie Dubas,Ri Yong,Male
Shaheen Bagh,Gordon Sondland,Male
Lamya Khan,Andrew Johnson,Male
Vidyun Akshay,Beto Orourke,Male
Gargi Lokesh,Ely Ratner,Male
Jamia Millia,Mao Zedong,Male
Faiz Ahmad,Hugh Hewitt,Male
Anirban Ghosh,Liu Zhenmin,Male
Akshat Nauriyal,Mary Robinson,Female
Rakesh Kumar,Kelvin Droegemeier,Male
Volodymyr Zelensky,Mike Dubke,Male
Viktor Shokin,Philip Gordon,Male
Kate Bedingfield,Kevin Yoder,Male
Patrick Leahy,William Weld,Male
Sheldon Whitehouse,Karen Pierce,Female
Masterful Hairsplitte,Paul Wolfowitz,Male
Richard Blumenthal,Donald Rumsfeld,Male
Mazie Hirono,Dmitry Medvedev,Male
Keith Lamont,Willy Brandt,Male
Scott Eric,Rick Santorum,Male
Henry Giroux,George Wallace,Male
Robin Dg,Joseph Mccarthy,Male
Rightwe Demagogue,Matteo Salvini,Male
Hannah Arendt,Yoshihide Suga,Male
Albert Camus,Ashwini Bhide,Female
Sarah Sander,Walter Shaub,Male
Green Bay,Pete Gallego,Male
Antimedia Barb,Ron Kirk,Male
Mike Huckabee,Jon Trickett,Male
Michelle Wolf,Edward Leigh,Male
Kurt Bardella,Owen Paterson,Male
Jim Acosta,Greg Brower,Male
Mick Mulvaney,Malcolm Rifkind,Male
Brian Stelter,Kevin Stitt,Male
Charles Goulden,Rebiya Kadeer,Female
Le Monde,Dean Brown,Male
Mondediplocomsubscribe Gregory,Lou Barletta,Male
Nikos Konstandara,Joseph Maguire,Male
Eric Klinenberg,Hunter Biden,Male
Robert Entman,Kevin Rudd,Male
Ly Barbaricbarbarous,Caroline Kennedy,Female
Richard Cohen,Nikema Williams,Female
Bret Stephen,Jerry Moran,Male
David Brooks,Armond Budish,Male
Alicia Casey,Michael Fallon,Male
Gina Raimondo,Mary Schiavo,Female
Jonathan Shaer,Siim Kiisler,Male
Geoffrey Yalenezian,Hilda Heine,Female
Chris Harkin,Ola Elvestuen,Male
Jim Morrison,Rudolph Giuliani,Male
Jacob Reesmogg,Karen Handel,Female
Janine Perkuhn,Jackie Speier,Female
Leftleane Mother,Pete Wilson,Male
John Gable,Mike Parson,Male
Cathy Deng,Quinton Lucas,Male
Mark Zuckerberg,Tsai Ingwen,Female
Deirdre Henderson,Dana Rohrabacher,Male
Jesus Christ,David Lipton,Male
Kody Brown,Christine Lagarde,Female
Pope Francis,John Ashcroft,Male
Austen Ivereigh,Ricardo Rossello,Male
Joe Tobin,Craig Fugate,Male
Keith Schiller,Ken Graham,Male
Pietro Parolin,Giorgia Meloni,Female
Sant Egidio,Josh Kaul,Male
Randi Weingarten,Roy Cooper,Male
Candice Jackson,Alexei Pushkov,Male
Adam Kissel,Hulusi Akar,Male
Aboutwell Npr,Andrew Scheer,Male
James Runcie,Tommy Douglas,Male
Isi Don,Jack Layton,Male
David Axelrod,Stephen Harper,Male
Tim Murtaugh,Thomas Mulcair,Male
Andrew Cuomo,Maxime Bernier,Male
Allahu Akbar,Ken Paxton,Male
Sayfullo Saipov,Ed Vaizey,Male
Shavkat Mirziyoyev,Robert Mahoney,Male
Closedoff Postsoviet,Hassan Nasrallah,Male
Janet Yellen,Federica Mogherini,Female
Charles Evans,Mahmoud Abbas,Male
Elise Gould,Jibril Rajoub,Male
Barry Berke,Kelly Loeffler,Female
Charlene Hardcastle,Collin Peterson,Male
Trump Tshirt,Vassily Nebenzia,Male
Tom Silverstone,Jon Porter,Male
Dick Cheney,Juliette Kayyem,Female
Brian Harrison,Sarah Sanders,Female
Leo Conway,John Dean,Male
Kathy Miller,Carolina Schmidt,Female
Bob Howe,Wendy Vitter,Female
Carmela Perez,Herbert Hoover,Male
Jobthank Youour,Dan Pfeiffer,Male
William Barber,Anurag Srivastava,Male
Carolina Naacp,Jay Carney,Male
Kevin Phillips,John Kennedy,Male
Bedividerinchief Suppressorinchief,Peter Vallone,Male
George Bush,George Pataki,Male
Peoplewhite Peoplesocial,Ann Ravel,Female
Robert Pittenger,Phil Murphy,Male
Bbc James,Meg Whitman,Female
Betty Shelby,Ann Kirkpatrick,Female
Terence Crutcher,Fatima Bibi,Female
Jonathan Ferrell,Corey Booker,Male
Wells Fargo,Lawrence Walsh,Male
Larry Bacow,Charles Grassley,Male
Rafael Reif,Enamur Rahman,Male
Shayna Ahteck,Atin Ghosh,Male
Jack Markert,Cyrus Vance,Male
Trevor Ladner,Thomas Homan,Male
Alexandra Mccandless,Grace Napolitano,Female
Steve Annear,Mike Conaway,Male
Jussie Smollett,Rolanda Hollis,Female
Dan Webb,Ajit Pai,Male
Tina Glandian,Michael Copps,Male
Saddam Hussein,Paul Feeney,Male
Abdul Karim,Kenneth Rogoff,Male
Haider Raaed,Liaqat Ali,Male
Muhtada Jabbar,Maulana Fazlullah,Male
Stephane Dujarric,Ijaz Shah,Male
Essam Alsudanireuter,Asif Ghafoor,Male
Muslimmajority Himalayan,Kim Yojong,Female
Kapil Kak,Jamie Gorelick,Female
Siddiq Wahid,Michael Bromwich,Male
Showkat Hussain,Chris Wray,Male
Ashok Kaul,Nechirvan Barzani,Male
Omar Abdullah,Pat Buchanan,Male
Khurram Parvez,John Grisham,Male
Rakesh Sinha,Mark Brnovich,Male
Anthony Kennedy,Christopher Coons,Male
Merrick Garland,Casey Cagle,Male
Barrett Thomas,Medaria Arradondo,Male
Hardiman Brett,Jacob Frey,Male
Raymond Kethledge,Leonard Lance,Male
Mcgahn Fox,Tom Malinowski,Male
Sarah Weddington,Jeff Denham,Male
Curt Levey,Brett Giroir,Male
John Roberts,Heiko Maas,Male
Jon Kyl,Bob Goodlatte,Male
Ilyse Hogue,Harold Albritton,Male
Joe Donnelly,Jeffrey White,Male
Heidi Heitkamp,Frank Seay,Male
Edward Fallone,Gregory Phillips,Male
Charles Scicluna,Kathy Kraninger,Female
Reinhard Marx,Mark Kelly,Male
Luigi Ventura,Jay Nixon,Male
Christine Jordan,Sam Dotson,Male
Jessica Lawrence,Tomomi Inada,Female
Sarah Repucci,Liu Jieyi,Male
Anita Johnson,Alexander Zhukov,Male
Jevon Gerrard,Vitaly Mutko,Male
Elena Kagan,Thomas Bach,Male
Chapman Rackaway,Craig Reedie,Male
Gotabaya Rajapaksa,Kevin Brady,Male
Ranil Wickremesinghe,Leo Varadkar,Male
Vijayananda Herath,Simon Coveney,Male
Sudarshana Gunawardana,Wess Mitchell,Male
Sajith Premadasa,Michael Duffey,Male
Podujana Peramuna,Carrie Lam,Female
Levant Isil,Kevin Cramer,Male
Ali Khamenei,William Pauley,Male
Javad Zarif,Cory Gardner,Male
Steven Mnuchin,Jessica Rosenworcel,Female
Jarrett Blanc,Matias Romero,Male
Hassan Rouhani,Arnold Schwarzenegger,Male
Stena Impero,Chris Krebs,Male
Adrian Darya,Denise Merrill,Female
Antonio Guterre,Delbert Hosemann,Male
Loretta Lynch,Trey Gowdy,Male
Freddie Gray,Leah Vukmir,Female
Larry Hogan,Bryan Steil,Male
Justin Paulson,Joe Radinovich,Male
William Darity,Jim Hagedorn,Male
Rick Perlstein,Carla Nelson,Female
John Boehner,Volodymyr Zelenskiy,Male
Cindy Schild,Kurt Volker,Male
Desmond Tutu,Tom Carper,Male
Rightwe Breitbart,Matt Bevin,Male
Sebastian Gorka,Rick Saccone,Male
Julia Hahn,Philip Weiser,Male
Sarah Posner,Chrystia Freeland,Female
Mother Jones,Douglas Wilder,Male
Mary Louise,Jeff Landry,Male
Ben Shapiro,Kevin Hassett,Male
Joseph Bermudez,Rodney Bryant,Male
Mediumrange Missileinto,Edward Markey,Male
Joshua Pollack,Chuck Hoskin,Male
Siegfrie Hecker,Roger Goodell,Male
Paul Mason,Margaret Fisher,Female
Rob Wallace,Mike Braun,Male
Justintime Supplychain,Randy Weber,Male
Raj Patel,Alyssa Farah,Female
Placespecific Agroecologie,Doug Chin,Male
Farshad Araghi,John Bellinger,Male
Friedrich Engel,Stephen Lam,Male
Martin Malcolm,Suhail Shaheen,Male
Noman Sland,Lopez Obrador,Male
Frederick Douglass,Seth Waxman,Male
Adelbert Ames,Kim Reynolds,Female
Revere Touchstone,Dave Loebsack,Male
Edmund Morgan,Joan Larsen,Female
James Mcpherson,Nicholas Garaufis,Male
Jefferson Davis,Eric Rosengren,Male
Henry Louis,Jerome Powell,Male
Tanehisi Coate,Joon Kim,Male
Hamish Hamilton,Darci Vetter,Female
Gavin Newsom,Abigail Spanberger,Female
Tyler Hamilton,Eric Cantor,Male
Hibaq Mohame,Andy Beshear,Male
William Stolz,Annise Parker,Female
Marc Wulfraat,Jocelyn Benson,Female
Fiftysevenyearold White,Theresa Gavarone,Female
Joe Crowley,Cui Tiankai,Male
Ed Markey,Zheng Zeguang,Male
Squire Patton,Peng Liyuan,Female
Trent Lott,Sara Gideon,Female
Jerry Nadler,Vincent Prieto,Male
Lindsey Boylan,Joaquin Castro,Male
Ro Khanna,Jesse Furman,Male
Giveni Veactually,Barbara Underwood,Female
Jonathan Karl,Vince Chhabria,Male
Kristen Welker,Mohammed Hussein,Male
Mike Flynn,Xavier Becerra,Male
Jake Turx,James Lankford,Male
Daniel Ramirez,Dan Bishop,Male
Alissa Scheller,Cheri Bustos,Female
Daniel Marans,Lyda Krewson,Female
Bernie Sandersbacking,Andre Carson,Male
Jon Ossoff,Liz Cheney,Female
Jim Lykam,Nita Lowey,Female
Mike Gonzales,Kathryn Ruemmler,Female
Anne Neu,Jill Karofsky,Female
Willi Smith,Amy Totenberg,Female
Ed Pilkington,Taro Kono,Male
Oscar Grant,Richard Haass,Male
Lois Beckett,Vern Buchanan,Male
Stuart Schrader,Herman Cain,Male
Edward Colston,Gray Davis,Male
Ben Okri,Gary Herbert,Male
Adam Gabbatt,Jessie Liu,Female
Forrest Fenn,Elijah Haahr,Male
Jacques Cousteau,Tommy Thompson,Male
Olof Palme,Luis Videgaray,Male
Thomas Chatterton,Adam Putnam,Male
Hannah Mcsorley,Gwen Graham,Female
James Clapper,Donna Shalala,Female
Julian Sanchez,Dalia Grybauskaite,Female
Todd Hinnen,Jyrki Katainen,Male
Karen Bradley,Aaron Rouse,Male
Roger Ailes,Lee Zeldin,Male
Milly Dowler,Mark Dayton,Male
Tom Watson,Deb Peters,Female
Ed Miliband,Herbert Slatery,Male
Jason Kessler,Jim Sensenbrenner,Male
Sieg Heil,Eugene Scalia,Male
Hardworke Taxpaye,Khawaja Asif,Male
Ben Carson,Marcelo Ebrard,Male
Joe Arpaio,Carolyn Goodman,Female
Kofi Annan,Harley Rouda,Male
Ama Kojo,Scott Baugh,Male
Boutro Boutrosghali,Ali Rabiei,Male
Tony Blair,Wayne Messam,Male
Nelson Mandela,John Barrasso,Male
Kumi Naidoo,Yang Jiechi,Male
Joel Brenner,Kathleen Rice,Female
Pushtotalk Walkietalkie,Gerry Connolly,Male
Mark Kelton,Neomi Rao,Female
Rolf Mowattlarssen,Gerald Connolly,Male
Evelyn Farka,Valeri Simeonov,Male
Jamil Jaffer,Moore Capito,Male
Andrew Yang,Bill Cassidy,Male
Joe Rogan,Claudia Mo,Female
Warren Buttigieg,Joshua Wong,Male
Bigot Homophobe,Greg Stanton,Male
Kween Emoji,Lori Lightfoot,Female
Steve Lynch,Bruce Harrell,Male
Whistleblow Chelsea,Salman Ahmed,Male
James Cartwright,Nigel Dodds,Male
Leonard Pelti,Susan Bucher,Female
Longestheld Whistleblower,Viktor Yanukovich,Male
Nancy Hollander,Adam Hollier,Male
Jeremy Scahill,Henry Kerner,Male
Tom Corbett,Boris Lushniak,Male
Maureen Hennessey,Andrea Ammon,Female
Mary Beth,Lina Hidalgo,Female
Kathleen Kane,Thomas Modly,Male
Michael Mcshane,Elaine Duke,Female
Patrick Murphy,Carmen Yulin,Female
Debbie Wassermanschultz,Laura Cooper,Female
Chrissie Hynde,Eric Swalwell,Male
John Podesta,Bennie Thompson,Male
Marvin Gaye,Louie Gohmert,Male
Susan Buffett,Devin Nunes,Male
Stevie Nick,Thad Balkman,Male
Evan Mcmullin,Ronald Vitiello,Male
Lester Holt,Madeleine Dean,Female
Savannah Guthrie,Chrissy Houlahan,Female
Chuck Todd,Brad Ashford,Male
Tom Brokaw,Elijah Cummings,Male
Charles Krauthammer,Pam Bondi,Female
Robin Roberts,Pedro Sanchez,Male
Amy Robach,Simon Dawson,Male
Michael Strahan,Thomas Perez,Male
Robert Siegel,Kevin Newsom,Male
Audie Cornish,Britt Grant,Female
Rachel Martin,Patrick Wyrick,Male
Ari Shapiro,Amy Mercado,Female
Andrew Neil,Cal Anderson,Male
Katty Kay,Stuart Gerson,Male
Laura Trevelyan,Roger Lau,Male
Jeremy Thompson,Burgess Owens,Male
Adam Boulton,Wayne Goodwin,Male
Katy Perry,Thomas Hardiman,Male
Yoko Ono,Chi Minh,Male
Simon Garfunkel,Mira Ricardel,Female
Roy Ayer,Dana Perino,Female
Icefille Collin,Jim Demint,Male
Golden Brown,Tom Bossert,Male
Varun Kumar,Dee Margo,Male
Mohan Bhagwat,Elizabeth Denham,Female
Zafaryab Jilani,George Hazel,Male
Uttar Pradesh,Lara Trump,Female
Rajatram Maurya,Christy Goldfuss,Female
Jahana Hayes,Victor Marrero,Male
Trita Parsi,Jonathan Greenblatt,Male
Stephen Wertheim,Jesus Bernal,Male
Ocasiocortez Pressley,Jim Kenney,Male
Eliot Engel,Tom Wolf,Male
Kerri Evelyn,Charles Rettig,Male
Juan Vargas,Bill Pascrell,Male
Jill Jacobs,Tom Homan,Male
Charles Chamberlain,Serhiy Lyovochkin,Male
Barnaby Raine,Ronny Jackson,Male
Josh Millerlewis,Robert Wilkie,Male
Steve Daine,Francis Rooney,Male
Jon Tester,Kristen Gillibrand,Female
Alexander Hamilton,Barry Loudermilk,Male
Thomas Jefferson,Joe Barton,Male
Hank Paulson,Lenin Moreno,Male
David Duke,Steve Chabot,Male
Zbigniew Brzezinski,Peter Messitte,Male
Frederica Wilson,Brian Frosh,Male
John Kasich,William Rehnquist,Male
Elon Musk,Lou Jiwei,Male
Douglas Schmidt,Marise Payne,Female
Jack Dorsey,Peter Pellegrini,Male
Shinzo Abe,Nusrat Choudhury,Female
Pinterest Jeanclaude,Curtis Hill,Male
Apgetty Hua,Janet Napolitano,Female
Philip Alper,Wang Qishan,Male
Frank Zimring,Allison Burroughs,Female
Jessica Levinson,William Evanina,Male
Letitia James,Anthony Blinken,Male
Alan Yuhas,Wendy Sherman,Female
David Munk,Han Zheng,Male
Jill Harth,Zhang Xiaoming,Male
Rachel Cook,Susan Bodine,Female
Natasha Stoynoff,Barry Moskowitz,Male
Mindy Mcgillivray,Kathy Hochul,Female
Kirsten Anderson,Troy Balderson,Male
Cathy Heller,Pat Tiberi,Male
Douglas Macarthur,Mike Farnworth,Male
Samuel Alito,Alberto Gonzales,Male
Stephen Breyer,Raul Castro,Male
Mony Preap,Jennifer Elrod,Female
Bassam Yusuf,Kurt Engelhardt,Male
Photogeorge Frey,Charles Kupperman,Male
Warren Buffett,Tony Sayegh,Male
Farhad Manjoo,Barbara Sharief,Female
Ferguson Mo,Raphael Bostic,Male
Derek Chauvin,Jerry Dias,Male
Justin Amash,Dick Harpootlian,Male
Trump Jr,Alex Padilla,Male
Sam Brownback,Kim Wyman,Female
Mary Anne,Kim Ogg,Female
Sergey Kislyak,Jena Griswold,Female
Alina Polyakova,Vladimir Padrino,Male
Dinu Patriciu,Haywood Gilliam,Male
Steven Pifer,Zoe Lofgren,Female
Anatoly Dobrynin,Barham Salih,Male
Oldstyle Soviettype,Edgardo Ramos,Male
Bill Maher,Jon Newman,Male
Mika Brzezinski,Dennis Hastert,Male
Frank Bruni,Sigmar Gabriel,Male
Zephyr Teachout,Nicolas Maduro,Male
Nooruddean Beardedgenius,Juan Guaido,Male
Bob Mueller,Jimmy Morales,Male
Claire Mccaskill,Patrick Morrisey,Male
Matt Whitaker,Seema Verma,Female
Ann Coulter,Martin Heinrich,Male
Lee Harvey,Judd Deere,Male
Edgar Hoover,Jim Inhofe,Male
Lyndon Johnson,Bruce Rauner,Male
Clay Shaw,Andrew Weissmann,Male
Grassy Knoll,Josh Gottheimer,Male
Oliver Stone,Ed Gillespie,Male
Nicholas Katzenbach,Kim Guadagno,Female
Valeriy Vladimirovich,Danica Roem,Female
Mandalay Bay,Trent Frank,Male
Jackie Hoffing,Blake Farenthold,Male
Jason Aldean,Gregg Doud,Male
William Walker,Ning Jizhe,Male
Emily Anderson,Bill Peduto,Male
Kevin Kropf,Richard Gergel,Male
Krista Metz,John Duran,Male
Sergey Lavrov,Salvador Panelo,Male
Anne Frank,Salomon Melgen,Male
Bashad Alasiyabashar,Ed Norris,Male
Wolf Blitzer,Kim Yong,Male
Pierre Elliott,Daniel Russel,Male
Brian Moynihan,Mark Goldsmith,Male
Mark Zandi,Salud Carbajal,Male
Kristina Hooper,Karen Gaddis,Female
Patrick Schaffer,Thomas Bossert,Male
Jp Morgan,Laurel Lee,Female
Noel Francisco,Anton Siluanov,Male
Steve Vladeck,Anthony Romero,Male
Val Deming,Chris Whitty,Male
Preet Bharara,Mark Sandy,Male
Andrew Mccabe,Philip Reeker,Male
George Papadopoulos,Greg Craig,Male
Trumprussia Penny,Vin Weber,Male
Nicholas Kristof,Sharon Gleason,Female
Scott Pruitt,Dan Goldman,Male
Elizabeth Beaver,Don Beyer,Male
Bejon Misra,Stephen Biegun,Male
Saket Gokhale,Li Keqiang,Male
Singh Hooda,Alondra Cano,Female
Amit Shah,Lisa Bender,Female
Sunil Kumar,Alexander Torshin,Male
Nalin Kohli,Barbara Ferrer,Female
Rajanish Kakadeap,Nick Salazar,Male
Palaniappan Chidambaram,Mason Brayman,Male
Aseem Katyal,Carlos Osorio,Male
Miguel Barbosa,Ralph Goodale,Male
Vicente Fox,Steve Schuh,Male
Margarita Zavala,Alejandro Giammattei,Male
Silva Herzog,Chuck Hagel,Male
Abdrabbu Mansour,Doug Burgum,Male
Abdel Hafez,Kirsten Gilibrand,Female
Hakim Al,Pat Brown,Male
Michael Dubke,Tom Schedler,Male
Rocky Nineday,Steffen Seibert,Male
Gen Mcmaster,Johnny Isakson,Male
Ben Jacobs,Eric Rosenbach,Male
Greg Gianforte,Jim Renacci,Male
Jim Mattis,Scott Wagner,Male
Medley Daft,Louis Stokes,Male
George Patton,Tom Marino,Male
Paul Eaton,Brad Hoylman,Male
Thomas Crosson,Vicky Hartzler,Female
Steve Mnuchin,Penny Pritzker,Female
Tom Gara,Jacob Lew,Male
Gene Mark,Moammar Gadhafi,Male
David Cameron,Patrick Buchanan,Male
Liam Fox,Kim Davis,Female
Priti Patel,Callie Granade,Female
Dominic Raab,Barbara Mikulski,Female
Stephen Crabb,Greg Walden,Male
Nicky Morgan,Mike Enzi,Male
George Osborne,Cynthia Lummis,Female
Mark Carney,Robert Bork,Male
Democracylove Opportunityfocuse,Jim Eastland,Male
Openplan Sheltersreason,Jennifer Wexton,Female
Joe Wilson,Kathleen Sebelius,Female
Jennifer Hudson,Max Baucus,Male
Cheryl Gillan,Bobbie Kilberg,Female
Charles Walker,Ray Washburne,Male
Brandon Lewis,Paul Babeu,Male
Alan Duncan,Ronald Lauder,Male
Anne Milton,Michele Bachmann,Female
Philip Hammond,Matt Salmon,Male
David Gauke,Mo Brooks,Male
Carrie Symond,Matt Olsen,Male
Kim Darroch,Liz Warren,Female
Matt Hancock,David Bowdich,Male
Sonal Mehta,Walter Dellinger,Male
David Godkin,Harold Koh,Male
Eric Goldman,Edmund Burke,Male
Jane Kirtley,Ramsey Clark,Male
Natalie Naugle,Yair Lapid,Male
Daphne Keller,Mohammad Khatami,Male
Rebecca Tushnet,Mahmoud Ahmadinejad,Male
Kathleen Culver,Hamid Karzai,Male
Matthew Whitaker,Valerie Jarrett,Female
Andy Wright,Kurt Schrader,Male
Archibald Cox,Mike Coffman,Male
Susan Bloch,Lee Terry,Male
Don Mcgahn,James Baker,Male
Nasrat Rahimi,Ricardo Patino,Male
Omar Sobhanireuter,Makan Delrahim,Male
Khyber Pakhtunkhwa,Fiona Scott,Female
Meerjady Sabrina,Peter Roskam,Male
Abdulla Shahid,Bernadette Meehan,Female
Ishwar Pokhrel,Pete Hoekstra,Male
Linmanuel Miranda,Karen Weaver,Female
Christopher Suprun,Bernard Kerik,Male
Lawrence Lessig,Jeanne Shaheen,Female
Christine Pelosi,Doug Shulman,Male
Bimbo Omowole,Victoria Nuland,Female
Orisunbare Ijora,Ron Schieber,
George Osodi,Susan Wagle,Female
Navin Rai,Steve Hickey,Male
Jim Yong,Tom Skinner,Male
Sami Siva,Michael Pompeo,Male
Ibrd Ida,Tom Ridge,Male
David Theis,Mike Morell,Male
Michael Cernea,Mark Kirk,Male
Jale Andon,Paul Gosar,Male
Besar Likmeta,Josip Tito,Male
Sali Berisha,John Jay,Male
Sanie Halilaj,Mullah Omar,Male
Robert Zoellick,Hillary Rodham,Female
Appal Zoellick,Joyce Barr,Female
Ben Hallman,Jon Carson,Male
Victor Mendoza,Tim Flakoll,Male
Andreea Campeanu,Sylvia Mathews,Female
Megan Chapman,Ted Strickland,Male
Eimi Watanabe,Dan Crenshaw,Male
Gonzalo Castro,Louis Gohmert,Male
Tony Karumba,Tony Blinken,Male
Groundtruth Joseph,Michael Caputo,Male
Kilimo Chebet,Ken Cuccinelli,Male
Vanessa Tijerina,Harry Blackmun,Male
Ralph Nader,Richard Mourdock,Male
Nathan Schneider,David Dewhurst,Male
Ajamu Baraka,Edouard Philippe,Male
Carlos Martinez,Christophe Castaner,Male
Tshirt Pam,Anne Hidalgo,Female
Hakeem Jeffrie,Laura Murphy,Female
Greta Thunberg,Kenny Marchant,Male
Alexandra Rojas,Raila Odinga,Male
Caroline Fredrickson,Dannel Malloy,Male
Ayanna Pressley,Barney Frank,Male
Borderfunding Bill,Saxby Chambliss,Male
Saikat Chakrabarti,Jack Lew,Male
Maureen Dowd,Paul Penzone,Male
Nathaniel Wood,Mohammed Morsi,Male
Kay Ivey,Hosni Mubarak,Male
Kerry Spencer,David Plouffe,Male
Carlos Owen,Leon Jaworski,Male
Harley Chisholm,Michael Leiter,Male
Charles Bennett,Henry Connelly,Male
Kim Kardashian,Jacob Zuma,Male
Meritlaw Shaunke,Thabo Mbeki,Male
Steve Marshall,Graca Machel,Female
Daryl Kimball,Samora Machel,Male
Denis Mcdonough,William Brownfield,Male
Larry David,Yury Fedotov,Male
Lou Mitchell,Sylvia Burwell,Female
Jeff Weaver,Erik Paulsen,Male
Michael Briggs,Sander Levin,Male
Wilder Moonshot,Bernard Kouchner,Male
Robert Reich,Martin Schulz,Male
Danny Devito,Kiron Skinner,Female
Jennifer Wright,Edmund Pettus,Male
Deborah Birx,Yuri Lutsenko,Male
Andy Slavitt,Rodrigo Roa,Male
Tom Frieden,Arne Duncan,Male
Kate Gallego,Brian Mulroney,Male
Asa Hutchinson,Rosalynn Carter,Female
Denise Fox,Lee Atwater,Male
Carly Fiorina,Mary Landrieu,Female
Pen Argyl,Fred Upton,Male
Carla Dibernardo,Laurie Patton,Female
Raymour Flanigan,Angela Kane,Female
Alex Azar,Laurent Fabius,Male
Allyson Chiu,Ashton Carter,Male
Amanda Holpuch,Bill Palatucci,Male
